DEBUG   2019-01-14 15:05:27,993 [main] org.jboss.logging  - Logging Provider: org.jboss.logging.Log4jLoggerProvider
DEBUG   2019-01-14 15:05:29,155 [main] org.hibernate.type.BasicTypeRegistry  - Adding type registration binary -> org.hibernate.type.BinaryType@5fe94a96
DEBUG   2019-01-14 15:05:29,155 [main] org.hibernate.type.BasicTypeRegistry  - Adding type registration byte[] -> org.hibernate.type.BinaryType@5fe94a96
DEBUG   2019-01-14 15:05:29,155 [main] org.hibernate.type.BasicTypeRegistry  - Adding type registration [B -> org.hibernate.type.BinaryType@5fe94a96
DEBUG   2019-01-14 15:05:29,156 [main] org.hibernate.type.BasicTypeRegistry  - Adding type registration wrapper-binary -> org.hibernate.type.WrapperBinaryType@2d3379b4
DEBUG   2019-01-14 15:05:29,156 [main] org.hibernate.type.BasicTypeRegistry  - Adding type registration Byte[] -> org.hibernate.type.WrapperBinaryType@2d3379b4
DEBUG   2019-01-14 15:05:29,156 [main] org.hibernate.type.BasicTypeRegistry  - Adding type registration [Ljava.lang.Byte; -> org.hibernate.type.WrapperBinaryType@2d3379b4
DEBUG   2019-01-14 15:05:29,158 [main] org.hibernate.type.BasicTypeRegistry  - Adding type registration row_version -> org.hibernate.type.RowVersionType@6b2ea799
DEBUG   2019-01-14 15:05:29,158 [main] org.hibernate.type.BasicTypeRegistry  - Adding type registration image -> org.hibernate.type.ImageType@36fc695d
DEBUG   2019-01-14 15:05:29,160 [main] org.hibernate.type.BasicTypeRegistry  - Adding type registration characters -> org.hibernate.type.CharArrayType@4afcd809
DEBUG   2019-01-14 15:05:29,160 [main] org.hibernate.type.BasicTypeRegistry  - Adding type registration char[] -> org.hibernate.type.CharArrayType@4afcd809
DEBUG   2019-01-14 15:05:29,160 [main] org.hibernate.type.BasicTypeRegistry  - Adding type registration [C -> org.hibernate.type.CharArrayType@4afcd809
DEBUG   2019-01-14 15:05:29,161 [main] org.hibernate.type.BasicTypeRegistry  - Adding type registration wrapper-characters -> org.hibernate.type.CharacterArrayType@1d296da
DEBUG   2019-01-14 15:05:29,161 [main] org.hibernate.type.BasicTypeRegistry  - Adding type registration [Ljava.lang.Character; -> org.hibernate.type.CharacterArrayType@1d296da
DEBUG   2019-01-14 15:05:29,161 [main] org.hibernate.type.BasicTypeRegistry  - Adding type registration Character[] -> org.hibernate.type.CharacterArrayType@1d296da
DEBUG   2019-01-14 15:05:29,163 [main] org.hibernate.type.BasicTypeRegistry  - Adding type registration text -> org.hibernate.type.TextType@557caf28
DEBUG   2019-01-14 15:05:29,163 [main] org.hibernate.type.BasicTypeRegistry  - Adding type registration ntext -> org.hibernate.type.NTextType@3c46e67a
DEBUG   2019-01-14 15:05:29,165 [main] org.hibernate.type.BasicTypeRegistry  - Adding type registration blob -> org.hibernate.type.BlobType@34e9fd99
DEBUG   2019-01-14 15:05:29,165 [main] org.hibernate.type.BasicTypeRegistry  - Adding type registration java.sql.Blob -> org.hibernate.type.BlobType@34e9fd99
DEBUG   2019-01-14 15:05:29,166 [main] org.hibernate.type.BasicTypeRegistry  - Adding type registration materialized_blob -> org.hibernate.type.MaterializedBlobType@38425407
DEBUG   2019-01-14 15:05:29,167 [main] org.hibernate.type.BasicTypeRegistry  - Adding type registration clob -> org.hibernate.type.ClobType@2d1ef81a
DEBUG   2019-01-14 15:05:29,167 [main] org.hibernate.type.BasicTypeRegistry  - Adding type registration java.sql.Clob -> org.hibernate.type.ClobType@2d1ef81a
DEBUG   2019-01-14 15:05:29,168 [main] org.hibernate.type.BasicTypeRegistry  - Adding type registration nclob -> org.hibernate.type.NClobType@3b69e7d1
DEBUG   2019-01-14 15:05:29,169 [main] org.hibernate.type.BasicTypeRegistry  - Adding type registration java.sql.NClob -> org.hibernate.type.NClobType@3b69e7d1
DEBUG   2019-01-14 15:05:29,169 [main] org.hibernate.type.BasicTypeRegistry  - Adding type registration materialized_clob -> org.hibernate.type.MaterializedClobType@1573f9fc
DEBUG   2019-01-14 15:05:29,169 [main] org.hibernate.type.BasicTypeRegistry  - Adding type registration materialized_nclob -> org.hibernate.type.MaterializedNClobType@7e6f74c
DEBUG   2019-01-14 15:05:29,170 [main] org.hibernate.type.BasicTypeRegistry  - Adding type registration serializable -> org.hibernate.type.SerializableType@5aa9e4eb
DEBUG   2019-01-14 15:05:29,174 [main] org.hibernate.type.BasicTypeRegistry  - Adding type registration object -> org.hibernate.type.ObjectType@233795b6
DEBUG   2019-01-14 15:05:29,174 [main] org.hibernate.type.BasicTypeRegistry  - Adding type registration java.lang.Object -> org.hibernate.type.ObjectType@233795b6
DEBUG   2019-01-14 15:05:29,174 [main] org.hibernate.type.BasicTypeRegistry  - Adding type registration imm_date -> org.hibernate.type.AdaptedImmutableType@1e800aaa
DEBUG   2019-01-14 15:05:29,174 [main] org.hibernate.type.BasicTypeRegistry  - Adding type registration imm_time -> org.hibernate.type.AdaptedImmutableType@185a6e9
DEBUG   2019-01-14 15:05:29,175 [main] org.hibernate.type.BasicTypeRegistry  - Adding type registration imm_timestamp -> org.hibernate.type.AdaptedImmutableType@6f03482
DEBUG   2019-01-14 15:05:29,175 [main] org.hibernate.type.BasicTypeRegistry  - Adding type registration imm_dbtimestamp -> org.hibernate.type.AdaptedImmutableType@9d5509a
DEBUG   2019-01-14 15:05:29,175 [main] org.hibernate.type.BasicTypeRegistry  - Adding type registration imm_calendar -> org.hibernate.type.AdaptedImmutableType@179ece50
DEBUG   2019-01-14 15:05:29,175 [main] org.hibernate.type.BasicTypeRegistry  - Adding type registration imm_calendar_date -> org.hibernate.type.AdaptedImmutableType@3b0090a4
DEBUG   2019-01-14 15:05:29,175 [main] org.hibernate.type.BasicTypeRegistry  - Adding type registration imm_binary -> org.hibernate.type.AdaptedImmutableType@3cd3e762
DEBUG   2019-01-14 15:05:29,175 [main] org.hibernate.type.BasicTypeRegistry  - Adding type registration imm_serializable -> org.hibernate.type.AdaptedImmutableType@1fa121e2
DEBUG   2019-01-14 15:05:29,199 [main] org.hibernate.id.factory.internal.DefaultIdentifierGeneratorFactory  - Registering IdentifierGenerator strategy [uuid2] -> [org.hibernate.id.UUIDGenerator]
DEBUG   2019-01-14 15:05:29,200 [main] org.hibernate.id.factory.internal.DefaultIdentifierGeneratorFactory  - Registering IdentifierGenerator strategy [guid] -> [org.hibernate.id.GUIDGenerator]
DEBUG   2019-01-14 15:05:29,200 [main] org.hibernate.id.factory.internal.DefaultIdentifierGeneratorFactory  - Registering IdentifierGenerator strategy [uuid] -> [org.hibernate.id.UUIDHexGenerator]
DEBUG   2019-01-14 15:05:29,200 [main] org.hibernate.id.factory.internal.DefaultIdentifierGeneratorFactory  - Registering IdentifierGenerator strategy [uuid.hex] -> [org.hibernate.id.UUIDHexGenerator]
DEBUG   2019-01-14 15:05:29,201 [main] org.hibernate.id.factory.internal.DefaultIdentifierGeneratorFactory  - Registering IdentifierGenerator strategy [assigned] -> [org.hibernate.id.Assigned]
DEBUG   2019-01-14 15:05:29,202 [main] org.hibernate.id.factory.internal.DefaultIdentifierGeneratorFactory  - Registering IdentifierGenerator strategy [identity] -> [org.hibernate.id.IdentityGenerator]
DEBUG   2019-01-14 15:05:29,202 [main] org.hibernate.id.factory.internal.DefaultIdentifierGeneratorFactory  - Registering IdentifierGenerator strategy [select] -> [org.hibernate.id.SelectGenerator]
DEBUG   2019-01-14 15:05:29,203 [main] org.hibernate.id.factory.internal.DefaultIdentifierGeneratorFactory  - Registering IdentifierGenerator strategy [sequence] -> [org.hibernate.id.enhanced.SequenceStyleGenerator]
DEBUG   2019-01-14 15:05:29,204 [main] org.hibernate.id.factory.internal.DefaultIdentifierGeneratorFactory  - Registering IdentifierGenerator strategy [seqhilo] -> [org.hibernate.id.SequenceHiLoGenerator]
DEBUG   2019-01-14 15:05:29,205 [main] org.hibernate.id.factory.internal.DefaultIdentifierGeneratorFactory  - Registering IdentifierGenerator strategy [increment] -> [org.hibernate.id.IncrementGenerator]
DEBUG   2019-01-14 15:05:29,205 [main] org.hibernate.id.factory.internal.DefaultIdentifierGeneratorFactory  - Registering IdentifierGenerator strategy [foreign] -> [org.hibernate.id.ForeignGenerator]
DEBUG   2019-01-14 15:05:29,206 [main] org.hibernate.id.factory.internal.DefaultIdentifierGeneratorFactory  - Registering IdentifierGenerator strategy [sequence-identity] -> [org.hibernate.id.SequenceIdentityGenerator]
DEBUG   2019-01-14 15:05:29,206 [main] org.hibernate.id.factory.internal.DefaultIdentifierGeneratorFactory  - Registering IdentifierGenerator strategy [enhanced-sequence] -> [org.hibernate.id.enhanced.SequenceStyleGenerator]
DEBUG   2019-01-14 15:05:29,207 [main] org.hibernate.id.factory.internal.DefaultIdentifierGeneratorFactory  - Registering IdentifierGenerator strategy [enhanced-table] -> [org.hibernate.id.enhanced.TableGenerator]
INFO    2019-01-14 15:05:29,209 [main] org.hibernate.engine.jdbc.connections.internal.ConnectionProviderInitiator  - HHH000130: Instantiating explicit connection provider: com.zaxxer.hikari.hibernate.HikariConnectionProvider
WARN    2019-01-14 15:05:29,217 [main] com.zaxxer.hikari.hibernate.HikariConnectionProvider  - com.zaxxer.hikari.hibernate.HikariConnectionProvider has been deprecated for versions of Hibernate 4.3.6 and newer.  Please switch to org.hibernate.hikaricp.internal.HikariCPConnectionProvider.
DEBUG   2019-01-14 15:05:29,217 [main] com.zaxxer.hikari.hibernate.HikariConnectionProvider  - Configuring HikariCP
WARN    2019-01-14 15:05:29,230 [main] com.zaxxer.hikari.HikariConfig  - {} - idleTimeout has been set but has no effect because the pool is operating as a fixed size pool.
DEBUG   2019-01-14 15:05:29,231 [main] com.zaxxer.hikari.HikariConfig  - HikariPool-1 - configuration:
DEBUG   2019-01-14 15:05:29,233 [main] com.zaxxer.hikari.HikariConfig  - allowPoolSuspension.............false
DEBUG   2019-01-14 15:05:29,234 [main] com.zaxxer.hikari.HikariConfig  - autoCommit......................false
DEBUG   2019-01-14 15:05:29,234 [main] com.zaxxer.hikari.HikariConfig  - catalog.........................none
DEBUG   2019-01-14 15:05:29,234 [main] com.zaxxer.hikari.HikariConfig  - connectionInitSql...............none
DEBUG   2019-01-14 15:05:29,234 [main] com.zaxxer.hikari.HikariConfig  - connectionTestQuery.............none
DEBUG   2019-01-14 15:05:29,234 [main] com.zaxxer.hikari.HikariConfig  - connectionTimeout...............20000
DEBUG   2019-01-14 15:05:29,234 [main] com.zaxxer.hikari.HikariConfig  - dataSource......................none
DEBUG   2019-01-14 15:05:29,235 [main] com.zaxxer.hikari.HikariConfig  - dataSourceClassName............."com.mysql.cj.jdbc.MysqlDataSource"
DEBUG   2019-01-14 15:05:29,235 [main] com.zaxxer.hikari.HikariConfig  - dataSourceJNDI..................none
DEBUG   2019-01-14 15:05:29,236 [main] com.zaxxer.hikari.HikariConfig  - dataSourceProperties............{user=openeyes, url=jdbc:mysql://openeyes.vm/openeyes, password=<masked>}
DEBUG   2019-01-14 15:05:29,236 [main] com.zaxxer.hikari.HikariConfig  - driverClassName.................none
DEBUG   2019-01-14 15:05:29,236 [main] com.zaxxer.hikari.HikariConfig  - healthCheckProperties...........{}
DEBUG   2019-01-14 15:05:29,236 [main] com.zaxxer.hikari.HikariConfig  - healthCheckRegistry.............none
DEBUG   2019-01-14 15:05:29,236 [main] com.zaxxer.hikari.HikariConfig  - idleTimeout.....................300000
DEBUG   2019-01-14 15:05:29,236 [main] com.zaxxer.hikari.HikariConfig  - initializationFailTimeout.......1
DEBUG   2019-01-14 15:05:29,236 [main] com.zaxxer.hikari.HikariConfig  - isolateInternalQueries..........false
DEBUG   2019-01-14 15:05:29,236 [main] com.zaxxer.hikari.HikariConfig  - jdbcUrl.........................none
DEBUG   2019-01-14 15:05:29,237 [main] com.zaxxer.hikari.HikariConfig  - leakDetectionThreshold..........0
DEBUG   2019-01-14 15:05:29,237 [main] com.zaxxer.hikari.HikariConfig  - maxLifetime.....................1800000
DEBUG   2019-01-14 15:05:29,237 [main] com.zaxxer.hikari.HikariConfig  - maximumPoolSize.................10
DEBUG   2019-01-14 15:05:29,237 [main] com.zaxxer.hikari.HikariConfig  - metricRegistry..................none
DEBUG   2019-01-14 15:05:29,237 [main] com.zaxxer.hikari.HikariConfig  - metricsTrackerFactory...........none
DEBUG   2019-01-14 15:05:29,237 [main] com.zaxxer.hikari.HikariConfig  - minimumIdle.....................10
DEBUG   2019-01-14 15:05:29,237 [main] com.zaxxer.hikari.HikariConfig  - password........................<masked>
DEBUG   2019-01-14 15:05:29,237 [main] com.zaxxer.hikari.HikariConfig  - poolName........................"HikariPool-1"
DEBUG   2019-01-14 15:05:29,237 [main] com.zaxxer.hikari.HikariConfig  - readOnly........................false
DEBUG   2019-01-14 15:05:29,237 [main] com.zaxxer.hikari.HikariConfig  - registerMbeans..................false
DEBUG   2019-01-14 15:05:29,237 [main] com.zaxxer.hikari.HikariConfig  - scheduledExecutor...............none
DEBUG   2019-01-14 15:05:29,237 [main] com.zaxxer.hikari.HikariConfig  - schema..........................none
DEBUG   2019-01-14 15:05:29,237 [main] com.zaxxer.hikari.HikariConfig  - threadFactory...................internal
DEBUG   2019-01-14 15:05:29,238 [main] com.zaxxer.hikari.HikariConfig  - transactionIsolation............default
DEBUG   2019-01-14 15:05:29,238 [main] com.zaxxer.hikari.HikariConfig  - username........................none
